texto,codigo_ciuo_1d
OCUPACIÓN: VENDER EN LA  CALLE; TAREA:  VENDERN,9
"OCUPACIÓN: CRÍA Y VENDE VACUNO.; TAREA: CRÍA, ENGORDA, VECINO LO VENDE EN FERIAS DE LA REGIÓN.",6
OCUPACIÓN: AGRICULTOR DE TOMATES Y UVAS; TAREA: VENDE SUS PROPIOS TOMATES Y UVAS  CULTIVIDAS Y COSECHADAS POR EL MISMO,6
OCUPACIÓN: COMPRA Y VENTA DE ROPA USADA; TAREA: COMPRA Y VENTA DE ROPA USADA,5
"OCUPACIÓN: ASISTENTE COMERCIAL; TAREA: MERCADO PÚBLICO LLENAR FÓRMULARIO, CHEQUEAR.",3
OCUPACIÓN: COLOCA PISO CONFECCIONA REJAS DE FIERRO; TAREA: CONSTRUCCIONES VARIAS,7
"OCUPACIÓN: ELABORAR REPOSTERÍA CASERA PARA SU VENTA A DOMICILIO.; TAREA: COMPRAR INSUMOS, HACER PUBLICIDAD DE SUS PRODUCTOS DE REPOSTERÍA, CONTACTAR CLIENTES, TRASLADAR SUS PRODUCTOS A DOMICILIO DE CLIENTES, VENDER REPOSTERÍA CASERA.",7
"OCUPACIÓN: REALIZAR TERAPIAS DE KINESIOLOGÍA A SUS CLIENTES.; TAREA: COMPRAR INSUMOS, PROMOCIONAR SUS SERVICIOS, TRASLADARSE A SU CONSULTA Y/O DOMICILIOS DE CLIENTES SEGÚN CORRESPONDA, REALIZAR TERAPIAS DE KINESIOLOGÍA A CLIENTES.",2
"OCUPACIÓN: PESCADOR ARTESANAL ,DUEÑO DE SU PROPIO BOTE DE PESCA; TAREA: PESCADOR Y VENDEDOR DE  SUS PESCADOS RECOLETADOS E SU PROPIO BOTE  DE FORMA ARTESANAL",6
OCUPACIÓN: CEO EMPRESA DE REVESTIMIENTO; TAREA: CEO DE EMPRESA DE REVESTIMIENTO DE MUROS,1
"OCUPACIÓN: ELABORACIÓN DE PANDERETAS; TAREA: COMPRAR MATERIA PRIMA (CEMENTO, ARENA), FABRICACIÓN, VENTA E INSTALACIÓN DE PANDERETAS.",7
OCUPACIÓN: LIMPIEZA PATIOS; TAREA: LIMPIAR Y CORTAR,6
"OCUPACIÓN: REPOSTERA PREPARA QUEQUES, PAN AMASADO; TAREA: COMPRA, VENDE, CONTACTA CLIENTES",7
OCUPACIÓN: COMERCIANTE; TAREA: VENDER Y ADMINISTRAR,5
OCUPACIÓN: CONSTRUCCION DE OBRAS; TAREA: CONSTRUIR O REPARAR,7
OCUPACIÓN: JARDINERO; TAREA: TOMA PEDIDOS Y REALIZA EL SERVICIO DE JARDINERIA A DOMICILIO.,6
